"Well","Reading","Temperature","A","B","Emission"
"A1","1",23.367925408,200,1000,0.116667637
"A1","2",23.84146744,200,1000,0.11808125
"A1","3",24.307065088,200,1000,0.119396348
"A1","4",24.782687792,200,1000,0.120441377
"A1","5",25.25017696,200,1000,0.122087275
"A1","6",25.729582704,200,1000,0.123514883
"A1","7",26.198679664,200,1000,0.125002891
"A1","8",26.675531856,200,1000,0.126433799
"A1","9",27.147087792,200,1000,0.127908672
"A1","10",27.615806448,200,1000,0.129553145
"A1","11",28.093036944,200,1000,0.131191318
"A1","12",28.56790304,200,1000,0.132076924
"A1","13",29.037189152,200,1000,0.13372125
"A1","14",29.507893904,200,1000,0.135139258
"A1","15",29.98276,200,1000,0.136281406
"A1","16",30.458193552,200,1000,0.138241367
"A1","17",30.930600672,200,1000,0.13928709
"A1","18",31.39950848,200,1000,0.140525938
"A1","19",31.87569864,200,1000,0.142231172
"A1","20",32.345552208,200,1000,0.143384014
"A1","21",32.820607456,200,1000,0.144892744
"A1","22",33.292352544,200,1000,0.146642803
"A1","23",33.75492376,200,1000,0.148233652
"A1","24",34.238490848,200,1000,0.149555215
"A1","25",34.717802016,200,1000,0.151373281
"A1","26",35.18444,200,1000,0.153145938
"A1","27",35.657225424,200,1000,0.155020127
"A1","28",36.13209152,200,1000,0.15690417
"A1","29",36.603363728,200,1000,0.158666436
"A1","30",37.075297968,200,1000,0.161065244
"A1","31",37.550069488,200,1000,0.163419775
"A1","32",38.022003728,200,1000,0.166008496
"A1","33",38.495167456,200,1000,0.168507422
"A1","34",38.966912544,200,1000,0.171373633
"A1","35",39.44130576,200,1000,0.17460457
"A1","36",39.912861696,200,1000,0.178198887
"A1","37",40.384890512,200,1000,0.182315566
"A1","38",40.858432544,200,1000,0.1867075
"A1","39",41.33188,200,1000,0.191624688
"A1","40",41.80428712,200,1000,0.196765117
"A1","41",42.276788816,200,1000,0.202551055
"A1","42",42.749668816,200,1000,0.209282207
"A1","43",43.222548816,200,1000,0.216990918
"A1","44",43.69486136,200,1000,0.224989297
"A1","45",44.168970848,200,1000,0.234409824
"A1","46",44.64298576,200,1000,0.245131621
"A1","47",45.114257968,200,1000,0.257866484
"A1","48",45.58590848,200,1000,0.271233379
"A1","49",46.06209864,200,1000,0.287091426
"A1","50",46.532330512,200,1000,0.304660156
"A1","51",47.00644,200,1000,0.325157891
"A1","52",47.48026576,200,1000,0.348012852
"A1","53",47.950592208,200,1000,0.372063359
"A1","54",48.425269152,200,1000,0.401682422
"A1","55",48.898622032,200,1000,0.432636484
"A1","56",49.37131288,200,1000,0.468870547
"A1","57",49.844003728,200,1000,0.506545312
"A1","58",50.316883728,200,1000,0.550382734
"A1","59",50.789574576,200,1000,0.597664961
"A1","60",51.263684064,200,1000,0.648205391
"A1","61",51.736942368,200,1000,0.702492812
"A1","62",52.205566448,200,1000,0.759125312
"A1","63",52.6786356,200,1000,0.818436172
"A1","64",53.151610176,200,1000,0.87890875
"A1","65",53.625435936,200,1000,0.943748906
"A1","66",54.099356272,200,1000,1.009503438
"A1","67",54.572803728,200,1000,1.074452109
"A1","68",55.045589152,200,1000,1.139705625
"A1","69",55.518563728,200,1000,1.201395234
"A1","70",55.990970848,200,1000,1.266118672
"A1","71",56.462432208,200,1000,1.326808906
"A1","72",56.93550136,200,1000,1.384398281
"A1","73",57.408665088,200,1000,1.435469375
"A1","74",57.882963728,200,1000,1.485915156
"A1","75",58.35697864,200,1000,1.533005
"A1","76",58.829669488,200,1000,1.573385
"A1","77",59.301603728,200,1000,1.613129219
"A1","78",59.7742,200,1000,1.646477812
"A1","79",60.247647456,200,1000,1.679584688
"A1","80",60.720338304,200,1000,1.706534688
"A1","81",61.191137632,200,1000,1.730455938
"A1","82",61.66524712,200,1000,1.749686562
"A1","83",62.139451184,200,1000,1.763081875
"A1","84",62.61148,200,1000,1.777917812
"A1","85",63.08436,200,1000,1.792644062
"A1","86",63.55582136,200,1000,1.802154844
"A1","87",64.02870136,200,1000,1.813758594
"A1","88",64.504040336,200,1000,1.819821719
"A1","89",64.972758992,200,1000,1.827844219
"A1","90",65.448192544,200,1000,1.833938438
"A1","91",65.921734576,200,1000,1.841653125
"A1","92",66.394330848,200,1000,1.848389844
"A1","93",66.867305424,200,1000,1.853940625
"A1","94",67.340469152,200,1000,1.859000156
"A1","95",67.811457632,200,1000,1.863264375
"A1","96",68.283391872,200,1000,1.868195469
"A1","97",68.76081152,200,1000,1.868369219
"A1","98",69.230948816,200,1000,1.874097344
"A1","99",69.704301696,200,1000,1.879866719
"A1","100",70.175573904,200,1000,1.877425156
"A1","101",70.65138576,200,1000,1.88207
"A1","102",71.123509152,200,1000,1.885026562
"A1","103",71.596578304,200,1000,1.884907344
"A1","104",72.068512544,200,1000,1.885955312
"A1","105",72.541108816,200,1000,1.886804688
"A1","106",73.013232208,200,1000,1.889344062
"A1","107",73.487341696,200,1000,1.889674688
"A1","108",73.960883728,200,1000,1.887158906
